job_title,job_date,comp_name,comp_type,comp_size,eco_activity,qualif,region,city,salary,contract,positions,job_post_id,exper,gender
فني أشعة,10/06/1444,شركة الرافق الطبي,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,,الباحة,QILWAH,6000,دوام كامل,2,20202026391838,0,both
محاسب,09/06/1444,شركة أطياف للخدمات المساندة,خاص,كبيرة,أنشطة خدمات صيانة المباني,,الرياض,RIYADH,6000,دوام كامل,1,20202026391554,0,F
محاسب,09/06/1444,مؤسسة فؤاد منصور فؤاد قطب التجارية,خاص,صغيرة فئة أ,البيع بالجملة للخشب بجميع أنواعه,"['Skill data', 'المحاسبة', 'متوسط', 'Language data', 'انجليزي', 'متوسط']",مكة المكرمة,JEDDAH,6000,دوام كامل,1,20202026391499,4,M
سباك,09/06/1444,مؤسسة اجواء اريحه للمقاولات,خاص,صغيرة فئة ب,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),"['Skill data', 'صيانة واصلاح ونركيب مستلزمات سباكة', 'محترف', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'شهادة جامعية متوسطة', 'ضروري']",القصيم,HAZM,3500,دوام كامل,1,20202026391456,2,M
مهندس معماري,09/06/1444,مؤسسة زرقاء اليمامة للتطوير العقاري,خاص,صغيرة فئة أ,Unknown,,مكة المكرمة,JEDDAH,7000,دوام كامل,1,20202026391450,2,both
نجّار,09/06/1444,مؤسسة مكعبات الإستثمار للمقاولات,خاص,صغيرة فئة ب,Unknown,,مكة المكرمة,MAKKAH,4000,دوام كامل,2,20202026391426,2,both
محامي,09/06/1444,راكان بن عويد الذيابي والبراء بن بهجت العمودي للمحاماةوالاست,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'مراجعة المحاكم والدوائر الحكومية ', 'محترف', 'الإلمام بالأنظمة والاحكام الشرعية ', 'محترف', 'Language data', 'Professional certificate \\ License data']",الرياض,RIYADH,5000,دوام كامل,1,20202026391401,4,M
فني حساب كميات,09/06/1444,شركة الخدمات الاستشارية السعودية للاستشارات الهندسية,خاص,كبيرة,الاستشارات الهندسية للمياه والصرف الصحي,"['Professional certificate \\ License data', 'اعتماد الهيئة السعودية المهندسين', 'ضروري']",الرياض,RIYADH,5000,دوام كامل,3,20202026391285,4,M
اخصائي دعم فني,09/06/1444,شركة إنتر للاتصالات و تقنية المعلومات شركة شخص واحد,خاص,صغيرة فئة ب,أنشطة خدمات التنظيف للمباني الحكومية,,القصيم,BURAYDAH,5000,دوام كامل,1,20202026391279,0,M
فني مساحة,09/06/1444,شركة الخدمات الاستشارية السعودية للاستشارات الهندسية,خاص,كبيرة,الاستشارات الهندسية للمياه والصرف الصحي,"['Professional certificate \\ License data', 'اعتماد الهيئة السعودية للمهندسين', 'ضروري']",الرياض,RIYADH,5000,دوام كامل,3,20202026391275,4,M
